EmailAddress,UserPrincipalName,Site,MailboxSizeGB,AccountType
DuckCent@domain4.com,DuckCent@domain4.com,SEA,42,Employee
DuckChicken@domain5.com,DuckChicken@domain5.com,TOR,55,Contractor
DuckCircusSkirt@domain6.com,DuckCircusSkirt@domain6.com,SEA,12,Employee
DuckClever@domain7.com,DuckClever@domain7.com,LAS,14,Contractor
DuckDonald@domain8.com,DuckDonald@domain8.com,BRZ,55,Employee
DuckDucks@domain9.com,DuckDucks@domain9.com,RIO,75,Contractor
Duckerbroc@domain10.com,Duckerbroc@domain10.com,TOR,0.01,Employee
Duckerelwo@domain11.com,Duckerelwo@domain11.com,SEA,0.2,Contractor
Duckerholi@domain12.com,Duckerholi@domain12.com,LAS,0.9,Employee
Duckerroqu@domain13.com,Duckerroqu@domain13.com,BRZ,10,Contractor
DuckGom@domain23.com,DuckGom@domain23.com,BRZ,9,Contractor
Duckless@domain14.com,Duckless@domain14.com,RIO,9,Employee
Duckletr@domain15.com,Duckletr@domain15.com,TOR,8,Contractor
Ducklite@domain16.com,Ducklite@domain16.com,SEA,6,Employee
DuckLive4A5@domain22.com,Duck4A5@domain22.com,LAS,10,Employee
DuckMiracle@domain17.com,DuckMiracle@domain17.com,LAS,5,Contractor
Duckokwo@domain18.com,Duckokwo@domain18.com,BRZ,4,Employee
DuckSarenDucks@domain19.com,DuckSarenDucks@domain19.com,RIO,3,Contractor
DuckSculk@domain20.com,DuckSculk@domain20.com,TOR,1,Employee
Ducksherma@domain21.com,Ducksherma@domain21.com,SEA,5,Contractor
Duckstar@domain22.com,Duckstar@domain22.com,TOR,20,Employee
DuckWay@domain23.com,DuckWay@domain23.com,SEA,42,Contractor
Duckybel@domain24.com,Duckybel@domain24.com,LAS,55,Employee
DurumDuck@domain24.com,DurumDuck@domain24.com,RIO,8,Employee
EntreesAnyways@domain3.com,EntreesAnyways@domain3.com,TOR,6,Contractor
EqualizerJohnWick@domain17.com,EqualizerJohnWick@domain17.com,TOR,1,Contractor
EyebrowWow@domain17.com,EyebrowWow@domain17.com,LAS,0.2,Contractor
fun@domain2.com,fun@domain2.com,SEA,66,Contractor
GeeD@domain18.com,GeeD@domain18.com,BRZ,0.9,Employee
GeeReferee@domain19.com,GeeReferee@domain19.com,RIO,10,Contractor
GoannaGom@domain20.com,GoannaGom@domain20.com,TOR,9,Employee
GoiterGom@domain18.com,GoiterGom@domain18.com,SEA,5,Employee
GomBurrito@domain4.com,GomBurrito@domain4.com,SEA,5,Employee
GomClown@domain5.com,GomClown@domain5.com,LAS,4,Contractor
GomD@domain21.com,GomD@domain21.com,SEA,8,Contractor
Gomeder@domain22.com,Gomeder@domain22.com,LAS,6,Employee
Gomeids@domain6.com,Gomeids@domain6.com,BRZ,3,Employee
Gomererco@domain7.com,Gomererco@domain7.com,RIO,1,Contractor
Gomerosta@domain23.com,Gomerosta@domain23.com,BRZ,5,Contractor
Gometrari@domain19.com,Gometrari@domain19.com,LAS,20,Contractor
Gomeyll@domain24.com,Gomeyll@domain24.com,RIO,4,Employee
GomGee@domain3.com,GomGee@domain3.com,TOR,3,Contractor
Gomiantle@domain20.com,Gomiantle@domain20.com,BRZ,42,Employee
Gomkoniak@domain8.com,Gomkoniak@domain8.com,TOR,5,Employee
GomMo@domain4.com,GomMo@domain4.com,SEA,1,Employee
GowkGom@domain21.com,GowkGom@domain21.com,RIO,55,Contractor
GreyD@domain5.com,Greyd@domain5.com,LAS,5,Contractor
GtaHolla@domain6.com,GtaHolla@domain6.com,BRZ,20,Employee
Gtaisedia@domain7.com,Gtaisedia@domain7.com,RIO,42,Contractor
GtaMessageWow@domain8.com,GtaMessageWow@domain8.com,TOR,55,Employee
GtaRdr2@domain9.com,GtaRdr2@domain9.com,SEA,12,Contractor
GtaRdr2D@domain10.com,GtaRdr2D@domain10.com,TOR,14,Employee
GumboGunner@domain9.com,GumboGunner@domain9.com,SEA,20,Contractor
have@domain2.com,have@domain2.com,BOS,94,Employee
having@domain2.com,having@domain2.com,SEA,80,Employee
HeadDuck@domain3.com,HeadDuck@domain3.com,BRZ,12,Contractor
HeaderHeadrail@domain22.com,HeaderHeadrail@domain22.com,TOR,12,Employee
HeadGom@domain23.com,HeadGom@domain23.com,SEA,14,Contractor
HistogramLamb@domain4.com,HistogramLamb@domain4.com,RIO,14,Employee
how@domain2.com,how@domain2.com,SEA,56,Contractor
i@domain2.com,i@domain2.com,NYC,95,Employee
im@domain2.com,im@domain2.com,NYC,88,Employee
InspireGom@domain10.com,InspireGom@domain10.com,LAS,42,Employee
is@domain2.com,is@domain2.com,SEA,75,Employee
it@domain2.com,it@domain2.com,NYC,98,Employee
JohnWick@domain24.com,JohnWick@domain24.com,LAS,55,Employee
JohnWickdo@domain3.com,JohnWickdo@domain3.com,BRZ,75,Contractor
know@domain2.com,know@domain2.com,NYC,90,Employee
LobeLol@domain11.com,LobeLol@domain11.com,SEA,55,Contractor
LolDTab@domain12.com,LolDTab@domain12.com,LAS,75,Employee
LolLosel@domain13.com,LolLosel@domain13.com,BRZ,0.01,Contractor
Lollynner@domain14.com,Lollynner@domain14.com,RIO,0.2,Employee
made@domain2.com,made@domain2.com,BOS,93,Employee
maybe@domain2.com,maybe@domain2.com,SEA,82,Contractor
mistake@domain2.com,mistake@domain2.com,BOS,91,Employee
NewsWow@domain15.com,NewsWow@domain15.com,TOR,0.9,Contractor
NiceD@domain4.com,NiceD@domain4.com,RIO,0.01,Employee
NooserEqualiser@domain5.com,NooserEqualiser@domain5.com,TOR,0.2,Contractor
nope@domain2.com,nope@domain2.com,SEA,60,Employee
ObligatedGom@domain6.com,ObligatedGom@domain6.com,SEA,0.9,Employee
ok@domain2.com,ok@domain2.com,NYC,99.9,Employee
OrganizerEqualizer@domain7.com,OrganizerEqualizer@domain7.com,LAS,10,Contractor
PennaWanna@domain8.com,PennaWanna@domain8.com,BRZ,9,Employee
ProphecyJohnWick@domain9.com,ProphecyJohnWick@domain9.com,RIO,8,Contractor
PurfectJohnWickJoy@domain10.com,PurfectJohnWickJoy@domain10.com,TOR,6,Employee
Rdr2Chat@domain16.com,Rdr2Chat@domain16.com,SEA,10,Employee
RiotGta@domain17.com,RiotGta@domain17.com,LAS,9,Contractor
SillyRdr2@domain18.com,SillyRdr2@domain18.com,BRZ,8,Employee
SisEqualizer@domain11.com,SisEqualizer@domain11.com,SEA,5,Contractor
so@domain2.com,so@domain2.com,NYC,99,Contractor
SpurtSpate@domain12.com,SpurtSpate@domain12.com,TOR,4,Employee
that@domain2.com,that@domain2.com,NYC,96,Contractor
this@domain2.com,this@domain2.com,SEA,28,Employee
what@domain2.com,what@domain2.com,NYC,89,Employee
why@domain2.com,why@domain2.com,SEA,23,Contractor
would@domain2.com,would@domain2.com,SEA,13,Contractor
wouldnt@domain2.com,wouldnt@domain2.com,SEA,46,Employee
wrong@domain2.com,wrong@domain2.com,SEA,7,Contractor
